Location,Timestamp,Question6a,Question6b,Question7a,Question7b,Question8a,Question8b,Question9a,Question9b,Question10a,Question10b,Question11a,Question11b,Question12a,Question12b,Question13a,Question13b,Question14,Question15,Technical/Theorical mark,Pre/Exam mark
Sydney,2019-04-12,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,8,2,2
Sydney,2019-04-12,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,9,8,4,4
Sydney,2019-04-12,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,8,8,4,4
Sydney,2019-04-12,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,10,0,2,3
Sydney,2019-04-12,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,10,7,4,4
Sydney,2019-04-12,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,8,2,4,6
Sydney,2019-04-12,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,8,4,3
Sydney,2019-04-12,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,4,3,3
Sydney,2019-04-12,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,2,5,8
Sydney,2019-04-12,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,6,4,2,5
Sydney,2019-04-12,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,3,4,2,7
Sydney,2019-04-12,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,6,6,3,3
Sydney,2019-04-12,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,9,3,6,6
Sydney,2019-04-12,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,2,10,6,5
Sydney,2019-04-12,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,4,3,2
Sydney,2019-04-12,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,4,10,6,5
Sydney,2019-04-12,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,5,6,4
Sydney,2019-04-12,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,2,1,4,4
Sydney,2019-04-12,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,4,1,4,7
Sydney,2019-04-12,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,7,7,4,5
Sydney,2019-04-12,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,9,9,4,5
Sydney,2019-04-12,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,2,10,4,7
Sydney,2019-04-12,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,3,4,6
Sydney,2019-04-12,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,9,2,5,4
Sydney,2019-04-12,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,4,2
Sydney,2019-04-12,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,9,10,2,6
Sydney,2019-04-12,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,4,8,6,2
Sydney,2019-04-12,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,9,5,4,3
Sydney,2019-04-12,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,6,5,4
Sydney,2019-04-12,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,6,1,4,4
Sydney,2019-04-12,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,3,2
Sydney,2019-04-12,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,2,1,2,6
Sydney,2019-04-12,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,10,4,5
Sydney,2019-04-12,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,10,5,4,3
Sydney,2019-04-12,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,4,4,4,3
Sydney,2019-04-12,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,5,0,5,4
Sydney,2019-04-12,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,9,2,4,5
Sydney,2019-04-12,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,7,3,5
Sydney,2019-04-12,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,7,4
Sydney,2019-04-12,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,8,8,2,4
Sydney,2019-04-12,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,10,5,5
Sydney,2019-04-12,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,9,9,5,3
Sydney,2019-04-12,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,3,1,6,4
Sydney,2019-04-12,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,9,10,2,6
Sydney,2019-04-12,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,3,5,7
Sydney,2019-04-12,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,3,1,3,5
Sydney,2019-04-12,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,8,6,5,5
Sydney,2019-04-12,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,3,1,3,7
Sydney,2019-04-12,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,8,1,5,4
Sydney,2019-04-12,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,9,5,3,5
Sydney,2019-04-12,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,3,2,3,4
Sydney,2019-04-12,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,10,7,3,2
Sydney,2019-04-12,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,10,7,4,7
Sydney,2019-04-12,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,6,5,5,6
Sydney,2019-04-12,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,5,5,2
Sydney,2019-04-12,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,3,4,4,4
Sydney,2019-04-12,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,7,6,4,6
Sydney,2019-04-12,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,6,4,3,5
Sydney,2019-04-12,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,6,7,5,6
Sydney,2019-04-12,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,6,2,6,5
Sydney,2019-04-12,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,8,6,5,3
Sydney,2019-04-12,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,8,0,7,5
Sydney,2019-04-12,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,4,10,2,5
Sydney,2019-04-12,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,2,4,6
Sydney,2019-04-12,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,2,6,2,4
Sydney,2019-04-12,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,5,6,3,4
Sydney,2019-04-12,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,8,4,5,4
Sydney,2019-04-12,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,5,6,6,4
Sydney,2019-04-12,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,8,1,2,6
Sydney,2019-04-12,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,6,5,3
Sydney,2019-04-12,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,10,8,3,3
Sydney,2019-04-12,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,9,4,3,5
Sydney,2019-04-12,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,2,1,5,3
Sydney,2019-04-12,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,5,4,3,4
Sydney,2019-04-12,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,4,2,4,3
Sydney,2019-04-12,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,10,9,3,4
Sydney,2019-04-12,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,8,5,6
Sydney,2019-04-12,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,4,4,5
