Location,Timestamp,Question6a,Question6b,Question7a,Question7b,Question8a,Question8b,Question9a,Question9b,Question10a,Question10b,Question11a,Question11b,Question12a,Question12b,Question13a,Question13b,Question14,Question15,Technical/Theorical mark,Pre/Exam mark,Coordinate,T1,T2,T1 Floating,T2 Floating,T1 Final,T2 Final,ABS1,ABS2,Category
Sydney,12/04/2019,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,4,7,3,5,"3,5",3.75,6.25,-0.848501292,-0.139324432,2.901498708,6.110675568,2.901498708,6.110675568,software engineering
Sydney,12/04/2019,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,6,2,4,6,"4,6",5,7.5,0.370597119,-1.522613526,5.370597119,5.977386474,5.370597119,5.977386474,Social marketing
Sydney,12/04/2019,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,3,4,"3,4",3.75,5,0.06854483,1.042945756,3.81854483,6.042945756,3.81854483,6.042945756,software engineering
Sydney,12/04/2019,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,10,10,6,2,"6,2",7.5,2.5,1.399978535,0.364566529,8.899978535,2.864566529,8.899978535,2.864566529,IT Management
Sydney,12/04/2019,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,7,4,4,"4,4",5,5,-0.382868859,-0.154927755,4.617131141,4.845072245,4.617131141,4.845072245,Design Skills
Sydney,12/04/2019,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6,3,2,"3,2",3.75,2.5,0.677328034,0.931797224,4.427328034,3.431797224,4.427328034,3.431797224,Design Skills
Sydney,12/04/2019,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,8,8,2,4,"2,4",2.5,5,-0.587407627,-0.982526758,1.912592373,4.017473242,1.912592373,4.017473242,Design Skills
Sydney,12/04/2019,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,8,10,3,6,"3,6",3.75,7.5,-0.139486631,0.224321431,3.610513369,7.724321431,3.610513369,7.724321431,software engineering
Sydney,12/04/2019,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,7,2,4,3,"4,3",5,3.75,0.895785926,1.029275441,5.895785926,4.779275441,5.895785926,4.779275441,IT Management
Sydney,12/04/2019,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,8,10,4,4,"4,4",5,5,-0.315453005,-1.014576469,4.684546995,3.985423531,4.684546995,3.985423531,Design Skills
Sydney,12/04/2019,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,2,9,4,6,"4,6",5,7.5,-0.390348306,-0.18175545,4.609651694,7.31824455,4.609651694,7.31824455,software engineering
Sydney,12/04/2019,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8,9,3,1,"3,1",3.75,1.25,-1.52558866,0.451567306,2.22441134,1.701567306,2.22441134,1.701567306,Design Skills
Sydney,12/04/2019,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,3,4,3,"4,3",5,3.75,-0.159029905,-0.845920449,4.840970095,2.904079551,4.840970095,2.904079551,Design Skills
Sydney,12/04/2019,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,4,1,3,5,"3,5",3.75,6.25,-1.34336982,-0.746335438,2.40663018,5.503664562,2.40663018,5.503664562,software engineering
Sydney,12/04/2019,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,2,7,4,4,"4,4",5,5,0.130139572,-1.277671876,5.130139572,3.722328124,5.130139572,3.722328124,IT Management
Sydney,12/04/2019,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,10,6,5,4,"5,4",6.25,5,1.428438721,0.753244417,7.678438721,5.753244417,7.678438721,5.753244417,Social marketing
Sydney,12/04/2019,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,4,9,2,3,"2,3",2.5,3.75,-0.317025574,1.042260791,2.182974426,4.792260791,2.182974426,4.792260791,Design Skills
Sydney,12/04/2019,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,5,10,3,5,"3,5",3.75,6.25,-0.644764617,0.915883138,3.105235383,7.165883138,3.105235383,7.165883138,software engineering
Sydney,12/04/2019,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,4,9,4,4,"4,4",5,5,0.270797586,-0.161110331,5.270797586,4.838889669,5.270797586,4.838889669,IT Management
Sydney,12/04/2019,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,7,9,6,6,"6,6",7.5,7.5,0.175723307,1.403182481,7.675723307,8.903182481,7.675723307,8.903182481,Social marketing
Sydney,12/04/2019,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,6,2,1,"2,1",2.5,1.25,0.271615399,1.003613887,2.771615399,2.253613887,2.771615399,2.253613887,Design Skills
Sydney,12/04/2019,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,4,9,2,7,"2,7",2.5,8.75,-0.165019307,1.045040218,2.334980693,9.795040218,2.334980693,9.795040218,software engineering
Sydney,12/04/2019,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,8,10,4,6,"4,6",5,7.5,-0.481123194,1.24399615,4.518876806,8.74399615,4.518876806,8.74399615,software engineering
Sydney,12/04/2019,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,9,4,4,"4,4",5,5,-0.384259336,-0.423037584,4.615740664,4.576962416,4.615740664,4.576962416,Design Skills
Sydney,12/04/2019,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,2,0,4,4,"4,4",5,5,0.985712604,-1.427607547,5.985712604,3.572392453,5.985712604,3.572392453,IT Management
Sydney,12/04/2019,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,6,9,5,4,"5,4",6.25,5,0.933708237,-0.986712521,7.183708237,4.013287479,7.183708237,4.013287479,IT Management
Sydney,12/04/2019,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,4,3,5,3,"5,3",6.25,3.75,-0.507663364,-1.140505342,5.742336636,2.609494658,5.742336636,2.609494658,IT Management
Sydney,12/04/2019,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,7,4,5,2,"5,2",6.25,2.5,0.43817197,-1.46364732,6.68817197,1.03635268,6.68817197,1.03635268,IT Management
Sydney,12/04/2019,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,3,4,4,5,"4,5",5,6.25,0.580767546,1.305987064,5.580767546,7.555987064,5.580767546,7.555987064,Social marketing
Sydney,12/04/2019,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,5,7,4,4,"4,4",5,5,-1.103446182,0.480503817,3.896553818,5.480503817,3.896553818,5.480503817,software engineering
Sydney,12/04/2019,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,5,3,3,6,"3,6",3.75,7.5,0.950908288,-1.074183329,4.700908288,6.425816671,4.700908288,6.425816671,software engineering
Sydney,12/04/2019,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,8,5,4,3,"4,3",5,3.75,0.187868483,-0.542620786,5.187868483,3.207379214,5.187868483,3.207379214,IT Management
Sydney,12/04/2019,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,8,0,4,6,"4,6",5,7.5,-1.107911262,0.490053891,3.892088738,7.990053891,3.892088738,7.990053891,software engineering
Sydney,12/04/2019,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,9,6,2,3,"2,3",2.5,3.75,-0.106956341,1.541253452,2.393043659,5.291253452,2.393043659,5.291253452,software engineering
Sydney,12/04/2019,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,6,8,6,5,"6,5",7.5,6.25,0.175707217,-0.159717119,7.675707217,6.090282881,7.675707217,6.090282881,Social marketing
Sydney,12/04/2019,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,10,4,3,6,"3,6",3.75,7.5,0.121953059,1.345038062,3.871953059,8.845038062,3.871953059,8.845038062,software engineering
Sydney,12/04/2019,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,7,10,7,6,"7,6",8.75,7.5,-1.427327044,1.525104315,7.322672956,9.025104315,7.322672956,9.025104315,Social marketing
Sydney,12/04/2019,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,5,2,2,4,"2,4",2.5,5,-0.006558167,-1.067121863,2.493441833,3.932878137,2.493441833,3.932878137,Design Skills
Sydney,12/04/2019,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,4,5,"4,5",5,6.25,0.437003261,1.232970528,5.437003261,7.482970528,5.437003261,7.482970528,Social marketing
Sydney,12/04/2019,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,5,4,4,5,"4,5",5,6.25,-0.405115412,-0.702301408,4.594884588,5.547698592,4.594884588,5.547698592,software engineering
Sydney,12/04/2019,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,10,1,4,5,"4,5",5,6.25,-1.55259637,-0.610292049,3.44740363,5.639707951,3.44740363,5.639707951,software engineering
Sydney,12/04/2019,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,10,3,2,"3,2",3.75,2.5,-1.147974675,0.186974076,2.602025325,2.686974076,2.602025325,2.686974076,Design Skills
Sydney,12/04/2019,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,10,6,4,4,"4,4",5,5,-0.589508767,-0.885315588,4.410491233,4.114684412,4.410491233,4.114684412,Design Skills
Sydney,12/04/2019,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,8,7,2,3,"2,3",2.5,3.75,-0.548958831,1.408665359,1.951041169,5.158665359,1.951041169,5.158665359,software engineering
Sydney,12/04/2019,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,2,5,5,3,"5,3",6.25,3.75,1.02884788,1.297571986,7.27884788,5.047571986,7.27884788,5.047571986,Social marketing
Sydney,12/04/2019,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,7,5,3,"5,3",6.25,3.75,-0.728822869,-1.583468012,5.521177131,2.166531988,5.521177131,2.166531988,IT Management
Sydney,12/04/2019,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,4,4,3,"4,3",5,3.75,-0.25880365,-0.201651668,4.74119635,3.548348332,4.74119635,3.548348332,Design Skills
Sydney,12/04/2019,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,3,7,6,4,"6,4",7.5,5,0.478733251,-0.47572189,7.978733251,4.52427811,7.978733251,4.52427811,IT Management
Sydney,12/04/2019,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,5,2,6,"2,6",2.5,7.5,1.238518099,-0.923798586,3.738518099,6.576201414,3.738518099,6.576201414,software engineering
Sydney,12/04/2019,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,5,1,4,4,"4,4",5,5,-1.036948666,1.210305936,3.963051334,6.210305936,3.963051334,6.210305936,software engineering
Sydney,12/04/2019,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,3,10,5,2,"5,2",6.25,2.5,-0.111157423,-1.021216827,6.138842577,1.478783173,6.138842577,1.478783173,IT Management
Sydney,12/04/2019,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,10,5,3,7,"3,7",3.75,8.75,0.623266106,-0.385262205,4.373266106,8.364737795,4.373266106,8.364737795,software engineering
Sydney,12/04/2019,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7,2,0,4,"0,4",0,5,1.012174975,1.445814146,1.012174975,6.445814146,1.012174975,6.445814146,software engineering
Sydney,12/04/2019,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,4,9,5,4,"5,4",6.25,5,0.683703334,0.334209414,6.933703334,5.334209414,6.933703334,5.334209414,Social marketing
Sydney,12/04/2019,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,4,0,3,5,"3,5",3.75,6.25,-0.157288983,0.418655858,3.592711017,6.668655858,3.592711017,6.668655858,software engineering
Sydney,12/04/2019,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,8,10,3,4,"3,4",3.75,5,-0.234409535,-0.919721318,3.515590465,4.080278682,3.515590465,4.080278682,Design Skills
Sydney,12/04/2019,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,7,4,2,4,"2,4",2.5,5,-1.511120388,0.289803741,0.988879612,5.289803741,0.988879612,5.289803741,software engineering
Sydney,12/04/2019,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,4,7,2,6,"2,6",2.5,7.5,-0.361971236,-1.390245865,2.138028764,6.109754135,2.138028764,6.109754135,software engineering
Sydney,12/04/2019,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,5,6,2,"6,2",7.5,2.5,-1.376795881,-0.124625708,6.123204119,2.375374292,6.123204119,2.375374292,IT Management
Sydney,12/04/2019,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,8,4,4,"4,4",5,5,0.072063172,-0.623004039,5.072063172,4.376995961,5.072063172,4.376995961,IT Management
Sydney,12/04/2019,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,9,2,5,6,"5,6",6.25,7.5,-1.045220764,-0.091891503,5.204779236,7.408108497,5.204779236,7.408108497,Social marketing
Sydney,12/04/2019,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,3,1,4,6,"4,6",5,7.5,-0.518005335,0.649046211,4.481994665,8.149046211,4.481994665,8.149046211,software engineering
Sydney,12/04/2019,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,0,3,4,"3,4",3.75,5,-0.571404797,-0.148652117,3.178595203,4.851347883,3.178595203,4.851347883,Design Skills
Sydney,12/04/2019,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,8,4,4,4,"4,4",5,5,1.178758582,-1.027434994,6.178758582,3.972565006,6.178758582,3.972565006,IT Management
Sydney,12/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,"0,0",0,0,-1.498261716,0.946771618,-1.498261716,0.946771618,1.498261716,0.946771618,Design Skills
Sydney,12/04/2019,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,9,0,4,4,"4,4",5,5,-0.260496012,-0.460313921,4.739503988,4.539686079,4.739503988,4.539686079,Design Skills
Sydney,12/04/2019,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,7,4,3,4,"3,4",3.75,5,1.205263806,-0.715651707,4.955263806,4.284348293,4.955263806,4.284348293,Design Skills
Sydney,12/04/2019,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,9,2,6,4,"6,4",7.5,5,0.084941651,0.924606386,7.584941651,5.924606386,7.584941651,5.924606386,Social marketing
Sydney,12/04/2019,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,5,6,4,5,"4,5",5,6.25,1.069741513,0.310100911,6.069741513,6.560100911,6.069741513,6.560100911,Social marketing
Sydney,12/04/2019,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,5,4,3,"4,3",5,3.75,-1.185080801,0.349995913,3.814919199,4.099995913,3.814919199,4.099995913,Design Skills
Sydney,12/04/2019,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,8,9,2,5,"2,5",2.5,6.25,0.605887891,0.261829931,3.105887891,6.511829931,3.105887891,6.511829931,software engineering
Sydney,12/04/2019,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,2,7,6,3,"6,3",7.5,3.75,-1.464597003,0.466891818,6.035402997,4.216891818,6.035402997,4.216891818,IT Management
Sydney,12/04/2019,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,7,10,3,5,"3,5",3.75,6.25,-1.001776455,-0.790873606,2.748223545,5.459126394,2.748223545,5.459126394,software engineering
Sydney,12/04/2019,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,5,10,3,5,"3,5",3.75,6.25,0.679931774,1.511656618,4.429931774,7.761656618,4.429931774,7.761656618,software engineering
Sydney,12/04/2019,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,8,5,4,4,"4,4",5,5,-0.731561597,1.553276766,4.268438403,6.553276766,4.268438403,6.553276766,software engineering
Sydney,12/04/2019,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,3,2,7,"2,7",2.5,8.75,-0.407535605,1.43760637,2.092464395,10.18760637,2.092464395,9.18760637,software engineering
Sydney,12/04/2019,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,9,1,3,4,"3,4",3.75,5,1.230605346,-0.187006861,4.980605346,4.812993139,4.980605346,4.812993139,Design Skills
Sydney,12/04/2019,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,4,4,4,"4,4",5,5,-0.656044678,0.585910612,4.343955322,5.585910612,4.343955322,5.585910612,software engineering
Sydney,12/04/2019,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,3,6,4,5,"4,5",5,6.25,0.200122777,0.305742818,5.200122777,6.555742818,5.200122777,6.555742818,Social marketing
Sydney,12/04/2019,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,6,8,5,4,"5,4",6.25,5,-0.651001758,1.59579831,5.598998242,6.59579831,5.598998242,6.59579831,Social marketing
Sydney,12/04/2019,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,10,8,5,1,"5,1",6.25,1.25,0.390284156,0.66698334,6.640284156,1.91698334,6.640284156,1.91698334,IT Management
Sydney,12/04/2019,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,6,4,6,2,"6,2",7.5,2.5,-0.664208793,0.950715317,6.835791207,3.450715317,6.835791207,3.450715317,IT Management
Sydney,12/04/2019,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,5,2,"5,2",6.25,2.5,-0.816830056,-1.081456584,5.433169944,1.418543416,5.433169944,1.418543416,IT Management
Sydney,12/04/2019,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,7,5,6,2,"6,2",7.5,2.5,0.902959606,0.672434599,8.402959606,3.172434599,8.402959606,3.172434599,IT Management
Sydney,12/04/2019,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,8,7,7,5,"7,5",8.75,6.25,-0.20594476,-1.107225472,8.54405524,5.142774528,8.54405524,5.142774528,Social marketing
Sydney,12/04/2019,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,3,10,3,4,"3,4",3.75,5,1.135903364,-0.960200305,4.885903364,4.039799695,4.885903364,4.039799695,Design Skills
Sydney,12/04/2019,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,6,8,2,4,"2,4",2.5,5,1.068796892,-1.529184234,3.568796892,3.470815766,3.568796892,3.470815766,Design Skills
Sydney,12/04/2019,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,3,0,5,4,"5,4",6.25,5,-0.484385355,-0.42340923,5.765614645,4.57659077,5.765614645,4.57659077,IT Management
Sydney,12/04/2019,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,7,5,5,1,"5,1",6.25,1.25,0.454058887,1.435626256,6.704058887,2.685626256,6.704058887,2.685626256,IT Management
Sydney,12/04/2019,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,5,7,2,3,"2,3",2.5,3.75,-0.370969206,-0.945806334,2.129030794,2.804193666,2.129030794,2.804193666,Design Skills
Sydney,12/04/2019,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,2,2,6,5,"6,5",7.5,6.25,-0.95059165,-1.585166842,6.54940835,4.664833158,6.54940835,4.664833158,IT Management
Sydney,12/04/2019,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,5,0,5,4,"5,4",6.25,5,-0.251326126,0.487059256,5.998673874,5.487059256,5.998673874,5.487059256,Social marketing
Sydney,12/04/2019,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,5,10,2,5,"2,5",2.5,6.25,-1.590639574,0.047861851,0.909360426,6.297861851,0.909360426,6.297861851,software engineering
Sydney,12/04/2019,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,2,2,6,3,"6,3",7.5,3.75,-1.430717992,-0.121394753,6.069282008,3.628605247,6.069282008,3.628605247,IT Management
Sydney,12/04/2019,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,3,3,4,4,"4,4",5,5,1.367323201,-0.193210592,6.367323201,4.806789408,6.367323201,4.806789408,IT Management
Sydney,12/04/2019,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,6,0,8,2,"8,2",10,2.5,1.4558216,-0.071002627,11.4558216,2.428997373,8.4558216,2.428997373,IT Management
Sydney,12/04/2019,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,7,2,4,4,"4,4",5,5,0.327035642,0.10590534,5.327035642,5.10590534,5.327035642,5.10590534,Social marketing
Sydney,12/04/2019,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,4,3,3,5,"3,5",3.75,6.25,3.43E-05,-1.01579827,3.750034282,5.23420173,3.750034282,5.23420173,software engineering
Sydney,12/04/2019,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,6,2,4,0,"4,0",5,0,-0.493741318,-0.767417297,4.506258682,-0.767417297,4.506258682,0.767417297,Design Skills
Sydney,12/04/2019,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,7,7,3,6,"3,6",3.75,7.5,1.094833288,-0.716450838,4.844833288,6.783549162,4.844833288,6.783549162,software engineering
Sydney,12/04/2019,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,9,10,4,4,"4,4",5,5,-1.249777341,-0.273969647,3.750222659,4.726030353,3.750222659,4.726030353,Design Skills
Sydney,12/04/2019,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,6,5,2,4,"2,4",2.5,5,0.770480641,0.546724701,3.270480641,5.546724701,3.270480641,5.546724701,software engineering
Sydney,12/04/2019,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,6,2,3,4,"3,4",3.75,5,-1.263313712,0.643980286,2.486686288,5.643980286,2.486686288,5.643980286,software engineering
Sydney,12/04/2019,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,2,9,4,5,"4,5",5,6.25,0.385647279,-0.229234155,5.385647279,6.020765845,5.385647279,6.020765845,Social marketing
Sydney,12/04/2019,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,3,9,4,3,"4,3",5,3.75,-1.52115105,-0.016124774,3.47884895,3.733875226,3.47884895,3.733875226,Design Skills
Sydney,12/04/2019,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,3,7,4,5,"4,5",5,6.25,-0.929619146,-0.76313038,4.070380854,5.48686962,4.070380854,5.48686962,software engineering
Sydney,12/04/2019,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,3,6,3,"6,3",7.5,3.75,-1.229518372,-0.425199027,6.270481628,3.324800973,6.270481628,3.324800973,IT Management
