Age,Degree,Major,Edu,Skills
23,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",   javascript css angularjs 
24,Undergraduate,IT Management,"Undergraduate,IT Management",javascript   
21,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",javascript   angularjs
21,Postgraduate,IT Management,"Postgraduate,IT Management",javascript css html 
25,Undergraduate,Data Science,"Undergraduate,Data Science",javascript   
24,Postgraduate,Network System,"Postgraduate,Network System",   css javascript 
24,Undergraduate,Network System,"Undergraduate,Network System",   javascript 
23,Undergraduate,IT Management,"Undergraduate,IT Management",javascript css html angularjs
25,Postgraduate,IT Security,"Postgraduate,IT Security",Html  javascript css
23,Postgraduate,IT Security,"Postgraduate,IT Security",nanjavascript html css 
22,Undergraduate,IT Management,"Undergraduate,IT Management",Html  javascript css
24,Postgraduate,IT Management,"Postgraduate,IT Management",nanjavascript html css 
25,Postgraduate,IT Security,"Postgraduate,IT Security",Html  javascript css
22,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",Html  javascript css
24,Undergraduate,Network System,"Undergraduate,Network System",Html  javascript css
23,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",Html  javascript css
25,Undergraduate,Network System,"Undergraduate,Network System",Html  javascript css
21,Postgraduate,IT Security,"Postgraduate,IT Security",Html  javascript css
23,Undergraduate,Network System,"Undergraduate,Network System",nanjavascript css html 
22,Postgraduate,IT Management,"Postgraduate,IT Management",Html  javascript css
22,Undergraduate,Design Skills,"Undergraduate,Design Skills",Html  javascript css
24,Postgraduate,IT Security,"Postgraduate,IT Security",Html  javascript css
21,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",Html  javascript css
25,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",Html  javascript css
24,Postgraduate,Data Science,"Postgraduate,Data Science",nanjavascript html 
22,Postgraduate,Design Skills,"Postgraduate,Design Skills",nanjavascript html css 
25,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",nanhtml javascript 
25,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",nanjavascript 
22,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",Html  javascript css
23,Postgraduate,Data Science,"Postgraduate,Data Science",nanjavascript html css 
24,Undergraduate,Data Science,"Undergraduate,Data Science",Html  javascript css
22,Undergraduate,Data Science,"Undergraduate,Data Science",Html  javascript css
21,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",Html  javascript css
24,Postgraduate,Design Skills,"Postgraduate,Design Skills",Html  javascript css
22,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",Html  javascript css
24,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",Html  javascript css
22,Undergraduate,Data Science,"Undergraduate,Data Science",Html  javascript css
23,Postgraduate,IT Security,"Postgraduate,IT Security",Html  javascript css
24,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",Html  javascript css
21,Undergraduate,Data Science,"Undergraduate,Data Science",Html  javascript css
24,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",Html  javascript css
25,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",Html  javascript css
22,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",nanhtml 
24,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",Html  javascript css
23,Postgraduate,IT Management,"Postgraduate,IT Management",Html  javascript css
24,Postgraduate,IT Security,"Postgraduate,IT Security",Html  javascript css
21,Undergraduate,Data Science,"Undergraduate,Data Science",Html  javascript css
23,Undergraduate,IT Management,"Undergraduate,IT Management",Html  javascript css
21,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",Html  javascript css
21,Postgraduate,Data Science,"Postgraduate,Data Science",Html  javascript css
21,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",Html   css
21,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",Html  javascript css
21,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",Html  javascript css
21,Postgraduate,Network System,"Postgraduate,Network System",Html  javascript css
22,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",Html  javascript css
22,Postgraduate,Design Skills,"Postgraduate,Design Skills",Html  javascript css
21,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",Html  javascript css
24,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",Html  javascript css
25,Postgraduate,Design Skills,"Postgraduate,Design Skills",Html  javascript css
22,Postgraduate,IT Security,"Postgraduate,IT Security",Html  javascript css
25,Postgraduate,Data Science,"Postgraduate,Data Science",Html  javascript css
21,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",Html  javascript css
21,Undergraduate,Design Skills,"Undergraduate,Design Skills",nanjavascript html css 
23,Postgraduate,IT Security,"Postgraduate,IT Security",nancss html 
21,Undergraduate,Network System,"Undergraduate,Network System",Html  javascript css
22,Postgraduate,Design Skills,"Postgraduate,Design Skills",nanjavascript 
21,Postgraduate,Data Science,"Postgraduate,Data Science",Html  javascript css
25,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",nancss html javascript 
21,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",nanvpn 
25,Postgraduate,Network System,"Postgraduate,Network System",nanvpn 
23,Postgraduate,IT Management,"Postgraduate,IT Management",java
25,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",nanjava testing vpn 
23,Postgraduate,IT Management,"Postgraduate,IT Management",nantesting vpn 
21,Undergraduate,Network System,"Undergraduate,Network System",nanvpn 
21,Undergraduate,IT Security,"Undergraduate,IT Security",nantesting 
23,Postgraduate,IT Security,"Postgraduate,IT Security",nanvpn testing java 
21,Postgraduate,IT Security,"Postgraduate,IT Security",nan
23,Undergraduate,Design Skills,"Undergraduate,Design Skills",java
21,Undergraduate,IT Security,"Undergraduate,IT Security",nanvpn java 
21,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",nanjava testing vpn 
23,Postgraduate,Design Skills,"Postgraduate,Design Skills",nan
22,Postgraduate,IT Security,"Postgraduate,IT Security",nantesting vpn java 
25,Undergraduate,Data Science,"Undergraduate,Data Science",nantesting java 
24,Postgraduate,IT Security,"Postgraduate,IT Security",nantesting 
24,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",nan
22,Undergraduate,IT Security,"Undergraduate,IT Security",nantesting 
23,Postgraduate,Design Skills,"Postgraduate,Design Skills",nanjava testing vpn 
22,Postgraduate,Design Skills,"Postgraduate,Design Skills",nanjava 
23,Postgraduate,IT Security,"Postgraduate,IT Security",nantesting 
23,Postgraduate,IT Security,"Postgraduate,IT Security",nan
21,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",nan
21,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",nantesting java vpn 
22,Undergraduate,Data Science,"Undergraduate,Data Science",nan
24,Undergraduate,Data Science,"Undergraduate,Data Science",java
25,Postgraduate,IT Security,"Postgraduate,IT Security",nan
22,Postgraduate,Design Skills,"Postgraduate,Design Skills",nanjava testing vpn 
24,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",nanvpn java 
21,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",nanvpn java 
23,Postgraduate,Network System,"Postgraduate,Network System",nantesting vpn 
22,Postgraduate,Data Science,"Postgraduate,Data Science",nanvpn java testing 
22,Undergraduate,IT Security,"Undergraduate,IT Security",nan
21,Postgraduate,Design Skills,"Postgraduate,Design Skills",nan
25,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",nantesting 
23,Undergraduate,Design Skills,"Undergraduate,Design Skills",nanvpn testing java 
25,Postgraduate,IT Security,"Postgraduate,IT Security",nan
21,Undergraduate,IT Security,"Undergraduate,IT Security",nan
21,Postgraduate,Design Skills,"Postgraduate,Design Skills",nanvpn testing 
23,Postgraduate,Design Skills,"Postgraduate,Design Skills",nan
24,Postgraduate,Design Skills,"Postgraduate,Design Skills",nanvpn 
21,Undergraduate,Data Science,"Undergraduate,Data Science",nanvpn 
23,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",nan
24,Undergraduate,Network System,"Undergraduate,Network System",nan
24,Undergraduate,Design Skills,"Undergraduate,Design Skills",nantesting 
24,Undergraduate,Network System,"Undergraduate,Network System",nan
25,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",nanjava 
23,Postgraduate,Network System,"Postgraduate,Network System",nan
23,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",nantesting 
25,Undergraduate,Data Science,"Undergraduate,Data Science",nanvpn java testing 
25,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",nanvpn java testing 
23,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",nanjava testing vpn 
22,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",nantesting vpn 
25,Undergraduate,IT Security,"Undergraduate,IT Security",nantesting java 
23,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",nan
23,Postgraduate,Data Science,"Postgraduate,Data Science",nanjava testing vpn 
24,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",nantesting 
22,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",nanvpn java testing 
24,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",nanvpn testing 
24,Undergraduate,IT Management,"Undergraduate,IT Management",nanjava testing vpn 
22,Undergraduate,Network System,"Undergraduate,Network System",    php 
21,Undergraduate,Data Science,"Undergraduate,Data Science",    photoshop j2ee java php html 
21,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",    php 
21,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",    j2ee java photoshop 
21,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",    html j2ee photoshop php 
23,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",    
25,Undergraduate,Design Skills,"Undergraduate,Design Skills",    java html photoshop j2ee 
23,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",    html photoshop php j2ee java 
22,Undergraduate,IT Management,"Undergraduate,IT Management",java J2EE PHP  
22,Postgraduate,Design Skills,"Postgraduate,Design Skills",    j2ee php html photoshop 
23,Undergraduate,Design Skills,"Undergraduate,Design Skills",   Html 
23,Undergraduate,Design Skills,"Undergraduate,Design Skills",  PHP  
22,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",   Html photoshop
23,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",java    
23,Undergraduate,IT Management,"Undergraduate,IT Management",java   Html 
21,Undergraduate,Network System,"Undergraduate,Network System",    php j2ee photoshop html java 
22,Undergraduate,Data Science,"Undergraduate,Data Science", J2EE   
22,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",    html j2ee photoshop php 
22,Undergraduate,IT Management,"Undergraduate,IT Management",    j2ee html photoshop php java 
25,Undergraduate,IT Security,"Undergraduate,IT Security",java    
21,Undergraduate,IT Management,"Undergraduate,IT Management",    java html 
21,Undergraduate,Data Science,"Undergraduate,Data Science",    php java html j2ee photoshop 
21,Postgraduate,Design Skills,"Postgraduate,Design Skills",    photoshop j2ee php 
22,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",java    
22,Undergraduate,IT Security,"Undergraduate,IT Security",java    
23,Undergraduate,IT Management,"Undergraduate,IT Management",java J2EE   
23,Undergraduate,Design Skills,"Undergraduate,Design Skills",    java 
24,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",java J2EE   
24,Undergraduate,Network System,"Undergraduate,Network System",    j2ee 
21,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",    java 
24,Postgraduate,Network System,"Postgraduate,Network System",    photoshop php java 
25,Undergraduate,Design Skills,"Undergraduate,Design Skills",    photoshop php java html j2ee 
22,Postgraduate,Data Science,"Postgraduate,Data Science",java    
24,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",java    
21,Undergraduate,Data Science,"Undergraduate,Data Science",    java 
22,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",    photoshop html java j2ee 
21,Undergraduate,IT Management,"Undergraduate,IT Management",java    
25,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",java    
22,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",java   Html photoshop
23,Postgraduate,Data Science,"Postgraduate,Data Science",java   Html photoshop
21,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",   Html photoshop
21,Undergraduate,IT Security,"Undergraduate,IT Security",    html php java j2ee photoshop 
22,Undergraduate,Design Skills,"Undergraduate,Design Skills",java  PHP Html 
24,Postgraduate,IT Security,"Postgraduate,IT Security",   Html 
23,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",java   Html 
21,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",java  PHP Html 
22,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",java   Html 
23,Postgraduate,Design Skills,"Postgraduate,Design Skills",java J2EE   
21,Undergraduate,IT Security,"Undergraduate,IT Security",  PHP  
21,Undergraduate,Design Skills,"Undergraduate,Design Skills",java   Html photoshop
22,Undergraduate,IT Security,"Undergraduate,IT Security",java   Html photoshop
24,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",    html j2ee 
23,Postgraduate,Network System,"Postgraduate,Network System",    j2ee photoshop php html java 
25,Postgraduate,IT Security,"Postgraduate,IT Security",java J2EE PHP Html 
24,Undergraduate,Network System,"Undergraduate,Network System",java J2EE PHP Html 
22,Undergraduate,Design Skills,"Undergraduate,Design Skills",  PHP  
21,Postgraduate,Design Skills,"Postgraduate,Design Skills",java   Html 
22,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",  PHP  
25,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",java    
21,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",java  PHP Html 
24,Postgraduate,IT Security,"Postgraduate,IT Security",java  PHP Html 
22,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",java  PHP  
22,Undergraduate,Data Science,"Undergraduate,Data Science",java   Html 
22,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",java   Html 
22,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",  PHP  photoshop
24,Undergraduate,IT Management,"Undergraduate,IT Management",java  PHP Html 
23,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",java   Html photoshop
23,Undergraduate,Design Skills,"Undergraduate,Design Skills",  PHP Html 
22,Postgraduate,IT Security,"Postgraduate,IT Security",java  PHP Html 
23,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",java   Html photoshop
21,Postgraduate,IT Security,"Postgraduate,IT Security",java  PHP Html 
24,Postgraduate,IT Management,"Postgraduate,IT Management",    j2ee html 
23,Undergraduate,Social Marketing,"Undergraduate,Social Marketing",java    
21,Postgraduate,Data Science,"Postgraduate,Data Science",   Html 
23,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",java   Html photoshop
24,Postgraduate,IT Management,"Postgraduate,IT Management",java  PHP Html 
25,Undergraduate,IT Management,"Undergraduate,IT Management",java   Html 
24,Postgraduate,IT Security,"Postgraduate,IT Security",  PHP  
23,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",    
21,Undergraduate,IT Security,"Undergraduate,IT Security",java   Html photoshop
24,Undergraduate,Design Skills,"Undergraduate,Design Skills",java   Html photoshop
22,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",java   Html 
24,Undergraduate,IT Management,"Undergraduate,IT Management",java   Html 
22,Postgraduate,IT Management,"Postgraduate,IT Management",java  PHP Html 
23,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",java  PHP  
21,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",java   Html photoshop
21,Postgraduate,Digital Technology,"Postgraduate,Digital Technology",java   Html 
21,Postgraduate,IT Management,"Postgraduate,IT Management",java   Html photoshop
22,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",java   Html photoshop
24,Postgraduate,Biomedical & Health Information,"Postgraduate,Biomedical & Health Information",java   Html photoshop
24,Undergraduate,IT Management,"Undergraduate,IT Management",  PHP Html photoshop
23,Postgraduate,IT Management,"Postgraduate,IT Management",java  PHP Html photoshop
23,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",    photoshop j2ee html php 
22,Undergraduate,Network System,"Undergraduate,Network System",   Html photoshop
23,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",    java php photoshop j2ee html 
24,Postgraduate,Network System,"Postgraduate,Network System",java   Html photoshop
22,Postgraduate,Software Engineering,"Postgraduate,Software Engineering",java   Html 
25,Undergraduate,Software Engineering,"Undergraduate,Software Engineering",java  PHP Html photoshop
22,Postgraduate,IT Management,"Postgraduate,IT Management",java  PHP Html photoshop
23,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",java  PHP Html photoshop
23,Undergraduate,Design Skills,"Undergraduate,Design Skills",   Html 
21,Undergraduate,IT Security,"Undergraduate,IT Security",    photoshop
23,Postgraduate,IT Management,"Postgraduate,IT Management",java   Html photoshop
24,Undergraduate,Digital Technology,"Undergraduate,Digital Technology",    
22,Undergraduate,Biomedical & Health Information,"Undergraduate,Biomedical & Health Information",java   Html photoshop
25,Postgraduate,Social Marketing,"Postgraduate,Social Marketing",java   Html photoshop
23,Postgraduate,IT Security,"Postgraduate,IT Security",    photoshop
